obsECIx,obsECIy,obsECIz,jdHistory,obsRelx,obsRely,obsRelz,sunPosIx,sunPosIy,sunPosz
-5302088.762550315,-212744.6432349738,3538817.042682694,2458536.224944921,29820453.09215878,-23559045.43398499,3566600.929126561,131262196424.5661,-62621491773.25407,-27146394161.50376
-5302010.867739076,-214680.1663238762,3538816.860948429,2458536.225002792,29829037.23802771,-23548179.5388727,3566611.029674655,131262267561.5463,-62621370073.22151,-27146341402.01916
-5301932.267231051,-216615.6608444604,3538816.677922173,2458536.225060662,29837617.42261795,-23537310.51545906,3566621.125238449,131262338698.3984,-62621248373.11508,-27146288642.50262
-5301852.961677361,-218551.1109742951,3538816.493605441,2458536.225118532,29846193.64414922,-23526438.34962256,3566631.215818092,131262409834.5452,-62621126673.92273,-27146235883.38241
-5301772.949808198,-220486.5477024491,3538816.307995281,2458536.225176403,29854765.90276231,-23515563.07405428,3566641.301409266,131262480971.1295,-62621004973.68907,-27146183123.81086
-5301692.23227392,-222421.9550903989,3538816.121093203,2458536.225234273,29863334.19667935,-23504684.67451683,3566651.38201212,131262552107.5778,-62620883273.39536,-27146130364.21333
-5301610.809742955,-224357.3173164341,3538815.932900755,2458536.225292143,29871898.52410409,-23493803.13689139,3566661.457626834,131262623243.3228,-62620761574.01201,-27146077605.01056
-5301528.680913245,-226292.6653295951,3538815.743414924,2458536.225350014,29880458.88521125,-23482918.49383056,3566671.528249034,131262694379.5064,-62620639873.58584,-27146024845.35575
-5301445.84644764,-228227.9833079395,3538815.552637244,2458536.225407884,29889015.27821324,-23472030.73121334,3566681.593878891,131262765515.5598,-62620518173.0892,-27145972085.67048
-5301362.307035141,-230163.2553532554,3538815.360569299,2458536.225465755,29897567.70129441,-23461139.83484674,3566691.654516626,131262836650.903,-62620396473.51516,-27145919326.38524
-5301278.06134153,-232098.5123745238,3538815.167208022,2458536.225523625,29906116.1546643,-23450245.83734325,3566701.710157811,131262907786.6848,-62620274772.89816,-27145866566.64793
-5301193.110047001,-234033.7385505382,3538814.972554978,2458536.225581496,29914660.63651842,-23439348.72458604,3566711.760802647,131262978922.3345,-62620153072.2142,-27145813806.88167
-5301107.453854551,-235968.9180610864,3538814.776611771,2458536.225639366,29923201.14503006,-23428448.48245969,3566721.80645138,131263050057.2769,-62620031372.44752,-27145761047.51313
