q1,q2,q3,q4,phi,theta,psi,wx,wy,wz
0.13401,-0.054452,0.053037,0.98806,0.091017,-0.12212,0.26404,0.00044947,-0.0019474,-0.0050984
0.13603,-0.057501,0.039846,0.98823,0.063649,-0.12481,0.26959,0.00042461,-0.0019548,-0.0050973
0.13796,-0.060559,0.026644,0.98823,0.036253,-0.12739,0.2751,0.00039965,-0.0019618,-0.0050963
0.13981,-0.063625,0.013433,0.98804,0.0088296,-0.12985,0.28055,0.00037462,-0.0019684,-0.0050954
0.14156,-0.066695,0.00021598,0.98768,-0.01862,-0.13219,0.28595,0.00034951,-0.0019745,-0.0050945
0.14323,-0.069768,-0.013006,0.98714,-0.046095,-0.13442,0.29129,0.00032433,-0.0019802,-0.0050936
0.14481,-0.072842,-0.026229,0.98643,-0.073593,-0.13653,0.29656,0.00029908,-0.0019855,-0.0050929
0.1463,-0.075912,-0.039452,0.98553,-0.10111,-0.13853,0.30177,0.00027377,-0.0019904,-0.0050921
0.1477,-0.078978,-0.052673,0.98447,-0.12866,-0.1404,0.3069,0.0002484,-0.0019948,-0.0050915
0.14901,-0.082036,-0.065888,0.98322,-0.15622,-0.14216,0.31196,0.00022299,-0.0019988,-0.0050909
0.15023,-0.085084,-0.079097,0.9818,-0.1838,-0.1438,0.31694,0.00019752,-0.0020024,-0.0050904
0.15135,-0.088119,-0.092296,0.98021,-0.2114,-0.14532,0.32184,0.00017202,-0.0020055,-0.0050899
0.15239,-0.09114,-0.10548,0.97844,-0.23901,-0.14673,0.32666,0.00014649,-0.0020082,-0.0050895
0.15333,-0.094142,-0.11866,0.9765,-0.26664,-0.14801,0.33138,0.00012092,-0.0020105,-0.0050892
0.15418,-0.097125,-0.13182,0.97438,-0.29428,-0.14918,0.33602,9.533e-05,-0.0020123,-0.0050889
0.15494,-0.10009,-0.14496,0.97209,-0.32193,-0.15023,0.34055,6.9719e-05,-0.0020137,-0.0050887
0.15561,-0.10302,-0.15807,0.96963,-0.34959,-0.15116,0.34499,4.4095e-05,-0.0020147,-0.0050886
0.15618,-0.10593,-0.17117,0.967,-0.37726,-0.15198,0.34932,1.8462e-05,-0.0020152,-0.0050885
0.15667,-0.10881,-0.18424,0.9642,-0.40494,-0.15268,0.35355,-7.1752e-06,-0.0020153,-0.0050885
0.15706,-0.11165,-0.19728,0.96122,-0.43262,-0.15327,0.35767,-3.2811e-05,-0.002015,-0.0050885
0.15736,-0.11446,-0.2103,0.95808,-0.46031,-0.15374,0.36168,-5.844e-05,-0.0020142,-0.0050886
0.15757,-0.11723,-0.22328,0.95476,-0.48799,-0.1541,0.36557,-8.4057e-05,-0.002013,-0.0050888
0.1577,-0.11997,-0.23622,0.95128,-0.51568,-0.15435,0.36934,-0.00010966,-0.0020114,-0.0050891
0.15773,-0.12266,-0.24913,0.94763,-0.54337,-0.15449,0.37298,-0.00013523,-0.0020093,-0.0050894
0.15767,-0.1253,-0.262,0.94382,-0.57106,-0.15452,0.3765,-0.00016078,-0.0020068,-0.0050897
0.15753,-0.1279,-0.27483,0.93984,-0.59874,-0.15444,0.37989,-0.0001863,-0.0020038,-0.0050902
0.1573,-0.13045,-0.28762,0.93569,-0.62642,-0.15425,0.38315,-0.00021178,-0.0020004,-0.0050907
0.15698,-0.13295,-0.30036,0.93138,-0.65409,-0.15396,0.38628,-0.00023722,-0.0019966,-0.0050912
0.15658,-0.1354,-0.31305,0.9269,-0.68176,-0.15357,0.38927,-0.00026261,-0.0019924,-0.0050919
0.1561,-0.13779,-0.3257,0.92226,-0.70941,-0.15307,0.39212,-0.00028794,-0.0019877,-0.0050925
0.15553,-0.14012,-0.33829,0.91746,-0.73706,-0.15248,0.39482,-0.00031322,-0.0019826,-0.0050933
0.15487,-0.14239,-0.35082,0.9125,-0.76469,-0.15178,0.39738,-0.00033843,-0.0019771,-0.0050941
0.15414,-0.1446,-0.3633,0.90738,-0.79232,-0.15099,0.39979,-0.00036357,-0.0019711,-0.005095
0.15333,-0.14675,-0.37572,0.9021,-0.81993,-0.15011,0.40205,-0.00038864,-0.0019647,-0.0050959
0.15244,-0.14883,-0.38807,0.89667,-0.84752,-0.14913,0.40416,-0.00041363,-0.0019579,-0.0050969
0.15147,-0.15084,-0.40037,0.89107,-0.8751,-0.14807,0.40611,-0.00043854,-0.0019507,-0.0050979
0.15042,-0.15278,-0.4126,0.88532,-0.90266,-0.14692,0.40791,-0.00046335,-0.001943,-0.005099
