x,y,z,vx,vy,vz
16399501.0818,38845889.1035,22550.955642,-2832.24693715,1196.40352545,-2.37258673213
16385338.7574,38851868.5392,22539.0912099,-2832.68272237,1195.37074522,-2.37318608159
16371174.2552,38857842.8107,22527.2237817,-2833.11813096,1194.33780634,-2.37378511546
16357007.5768,38863811.917,22515.3533592,-2833.55316286,1193.30470894,-2.37438383366
16342838.7242,38869775.8575,22503.4799439,-2833.98781802,1192.27145317,-2.37498223611
16328667.6992,38875734.6313,22491.6035374,-2834.42209638,1191.23803917,-2.37558032272
16314494.5038,38881688.2376,22479.7241412,-2834.85599787,1190.20446706,-2.37617809343
16300319.1399,38887636.6757,22467.841757,-2835.28952244,1189.17073699,-2.37677554816
16286141.6092,38893579.9447,22455.9563863,-2835.72267004,1188.1368491,-2.37737268681
16271961.9138,38899518.0439,22444.0680306,-2836.15544061,1187.10280352,-2.37796950932
16257780.0554,38905450.9725,22432.1766917,-2836.58783408,1186.06860039,-2.3785660156
16243596.0361,38911378.7297,22420.282371,-2837.01985041,1185.03423985,-2.37916220557
16229409.8576,38917301.3146,22408.3850702,-2837.45148953,1183.99972203,-2.37975807917
16215221.5218,38923218.7266,22396.4847908,-2837.88275139,1182.96504708,-2.38035363629
16201031.0307,38929130.9648,22384.5815343,-2838.31363593,1181.93021513,-2.38094887688
16186838.3861,38935038.0285,22372.6753025,-2838.7441431,1180.89522631,-2.38154380085
16172643.5899,38940939.9168,22360.7660969,-2839.17427283,1179.86008078,-2.38213840811
16158446.644,38946836.629,22348.853919,-2839.60402507,1178.82477865,-2.3827326986
16144247.5503,38952728.1644,22336.9387704,-2840.03339976,1177.78932008,-2.38332667223
16130046.3106,38958614.522,22325.0206528,-2840.46239685,1176.75370519,-2.38392032892
16115842.9269,38964495.7012,22313.0995676,-2840.89101627,1175.71793414,-2.38451366859
16101637.4011,38970371.7011,22301.1755166,-2841.31925798,1174.68200704,-2.38510669118
16087429.735,38976242.521,22289.2485013,-2841.74712191,1173.64592405,-2.38569939659
16073219.9305,38982108.16,22277.3185232,-2842.17460802,1172.6096853,-2.38629178474
16059007.9895,38987968.6176,22265.3855839,-2842.60171623,1171.57329093,-2.38688385557
16044793.914,38993823.8927,22253.4496851,-2843.0284465,1170.53674107,-2.38747560899
16030577.7057,38999673.9847,22241.5108284,-2843.45479877,1169.50003587,-2.38806704492
16016359.3666,39005518.8928,22229.5690152,-2843.88077298,1168.46317545,-2.38865816329
