t,mApp
6450,27.908064
6455,27.5573963
6460,27.3001965
6465,27.098904
6470,26.935009
6475,26.7980194
6480,26.6814138
6485,26.5808644
6490,26.4933557
6495,26.4167058
6500,26.3465409
6505,26.2810749
6510,26.2232634
6515,26.1721993
6520,26.1271623
6525,26.0875737
6530,26.0529643
6535,26.0229516
6540,25.9972226
6545,25.9755214
6550,25.9576398
6555,25.9434097
6560,25.9326981
6565,25.9254031
6570,25.9214504
6575,25.9207916
6580,25.9234032
6585,25.929285
6590,25.9384612
6595,25.9509804
6600,25.9669171
6605,25.9877815
6610,26.0156938
6615,26.0476696
6620,26.0839821
6625,26.1249649
6630,26.1710255
6635,26.2226642
6640,26.2804993
6645,26.3453027
6650,26.4180502
6655,26.499995
6660,26.5927785
6665,26.6986033
6670,26.8205151
6675,26.9628889
6680,27.1323273
6685,27.3394749
6690,27.6031677
6695,27.9618174
6700,28.515776
6705,28.9456899
6710,29.0020016
6715,29.0619614
6720,29.1259749
6725,29.1945265
6730,29.2160711
6735,29.211294
6740,29.2075615
6745,29.2048518
6750,29.2031456
6755,29.2024251
6760,29.2026746
6765,29.2038799
6770,29.2060286
6775,29.2091098
6780,29.2131142
6785,29.2180337
6790,29.223862
6795,29.2305939
6800,29.2382258
6805,29.1748921
6810,29.1157065
6815,29.0606965
6820,29.0094306
6825,28.9615453
6830,28.9167318
6835,28.8747252
6840,28.8352971
6845,28.798249
6850,28.7634076
6855,28.7306206
6860,28.6997534
6865,28.6706872
6870,28.6433157
6875,28.6175446
6880,28.5932889
6885,28.5704727
6890,28.5490274
6895,28.5288913
6900,28.5100085
6905,28.4923285
6910,28.4758054
6915,28.4603978
6920,28.4460679
6925,28.4534684
6930,28.4773257
6935,28.5023037
6940,28.5284497
6945,28.5558156
6950,28.5844584
6955,28.6144412
6960,28.6458333
6965,28.6787116
6970,28.7131618
6975,28.7492787
6980,28.7871688
6985,28.8269512
6990,28.8687601
6995,28.9127474
7000,28.9590855
7005,29.0079716
7010,29.0363181
7015,29.0286953
7020,29.0219501
7025,29.0160736
7030,29.0110581
7035,29.0068968
7040,29.0035843
7045,29.0011159
7050,28.999488
7055,28.9986981
7060,28.9987446
7065,28.9996266
7070,29.0013444
7075,29.0038993
7080,29.0072932
7085,29.0115293
7090,29.0166115
7095,29.0225449
7100,29.0293355
7105,29.0369904
7110,29.0320481
7115,28.9893755
7120,28.9493663
7125,28.9118139
7130,28.8765379
7135,28.8433801
7140,28.8122008
7145,28.7828763
7150,28.7552964
7155,28.7293627
7160,28.7049871
7165,28.6820902
7170,28.6606008
7175,28.6404541
7180,28.6472877
7185,28.6679241
7190,28.6896508
7195,28.7125046
