Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2607.94699266,26485.307304,0.7034244, 68.1651,187.4614,220.7301,296.6189
2611.93881035,26484.316201,0.7035510, 68.1412,187.0500,220.5528,310.8714
2614.93259272,26482.765387,0.7036025, 68.1466,186.7555,220.4152,321.5056
2617.92791109,26480.104811,0.7037749, 68.1537,186.4600,220.2825,333.2074
2619.92392463,26479.320815,0.7039098, 68.1501,186.2565,220.1917,340.3620
2621.92062000,26491.139935,0.7041157, 68.1418,186.0485,220.0851,348.0120
2623.41804960,26528.847171,0.7045869, 68.1353,185.8935,220.0058,353.6812
2627.90994601,26452.974630,0.7039424, 68.1189,185.4207,219.7701, 10.3088
2629.40737189,26480.356471,0.7042869, 68.1281,185.2717,219.7188, 15.8844
2630.90485038,26489.177608,0.7044516, 68.1356,185.1255,219.6643, 21.4819
2633.40065736,26491.979917,0.7046753, 68.1385,184.8777,219.5674, 30.7786
2635.39732490,26492.219390,0.7048279, 68.1295,184.6733,219.4853, 38.2094
2639.39098299,26492.122159,0.7049096, 68.1137,184.2670,219.3058, 53.2655
2641.38777219,26492.218615,0.7049313, 68.1209,184.0732,219.2123, 60.7234
2643.38448379,26492.456293,0.7050321, 68.1330,183.8822,219.1218, 68.0780
2646.38011748,26492.864421,0.7052986, 68.1411,183.5894,218.9930, 79.4360
2648.37718724,26493.093508,0.7054657, 68.1362,183.3881,218.9083, 86.9553
2650.37427483,26493.351903,0.7055689, 68.1282,183.1851,218.8212, 94.4648
2651.87215486,26493.589213,0.7056026, 68.1247,183.0343,218.7539,100.1261
2653.36995597,26493.836425,0.7056130, 68.1263,182.8867,218.6848,105.7114
2654.86783249,26494.146065,0.7056343, 68.1334,182.7425,218.6163,111.3288
2658.36299106,26495.109627,0.7058451, 68.1580,182.4104,218.4637,124.4026
2661.35893867,26495.690892,0.7061589, 68.1619,182.1144,218.3426,135.5635
2663.35650993,26495.889441,0.7063144, 68.1547,181.9106,218.2606,143.1726
2665.35376728,26496.104103,0.7063869, 68.1501,181.7082,218.1739,150.5405
2667.35117037,26496.455470,0.7064239, 68.1563,181.5120,218.0837,157.9896
2669.34861613,26496.860530,0.7065086, 68.1721,181.3217,217.9945,165.4296
2671.34611019,26497.138831,0.7066813, 68.1883,181.1316,217.9102,172.8621
2673.34367879,26497.295712,0.7069061, 68.1963,180.9364,217.8298,180.3203
2675.34126170,26497.362983,0.7071132, 68.1952,180.7356,217.7501,187.7788
2681.33428683,26497.420720,0.7073841, 68.1987,180.1370,217.4931,210.3612
2683.33192506,26497.391330,0.7074814, 68.2155,179.9468,217.4062,217.8481
2685.32954203,26497.300779,0.7076683, 68.2327,179.7563,217.3246,225.3020
2687.32720106,26497.147098,0.7079195, 68.2405,179.5596,217.2480,232.7791
2689.32527508,26496.988904,0.7081513, 68.2371,179.3556,217.1714,240.5699
2691.32326706,26496.825318,0.7083005, 68.2305,179.1495,217.0900,248.3277
2693.32112561,26496.628785,0.7083811, 68.2310,178.9478,217.0032,256.0133
2695.31906122,26496.299753,0.7084654, 68.2426,178.7526,216.9151,263.7650
2696.81737906,26495.995368,0.7085738, 68.2556,178.6083,216.8507,269.4813
2696.81745068,26495.994370,0.7085738, 68.2556,178.6083,216.8507,269.5332
2699.31500518,26495.420473,0.7088548, 68.2727,178.3646,216.7510,279.3193
2701.31288811,26494.957590,0.7091087, 68.2750,178.1625,216.6742,287.0463
2703.31109802,26494.454445,0.7093171, 68.2693,177.9557,216.5959,295.0411
2707.30688058,26492.883355,0.7095311, 68.2625,177.5447,216.4278,310.6754
2709.30472536,26491.440901,0.7096036, 68.2711,177.3459,216.3414,318.4962
2710.80345550,26489.869326,0.7096859, 68.2819,177.1987,216.2784,324.6201
2712.30201446,26487.686332,0.7098072, 68.2927,177.0506,216.2189,330.6254
2714.30014075,26484.387449,0.7100067, 68.2996,176.8468,216.1411,338.6820
2716.29840262,26488.794935,0.7102456, 68.2953,176.6334,216.0493,346.8830
2721.29333943,26429.170743,0.7100169, 68.2706,176.0878,215.7926,  7.1069
2723.29138870,26480.505857,0.7107290, 68.2836,175.8772,215.7130, 15.2779
2725.28956341,26492.208564,0.7110097, 68.2977,175.6753,215.6460, 23.5661
2727.28744321,26493.433454,0.7112464, 68.3025,175.4704,215.5726, 31.6753
2729.28546134,26492.985118,0.7114693, 68.2958,175.2596,215.4959, 39.9280
2731.28347708,26492.231359,0.7116345, 68.2830,175.0457,215.4141, 48.2324
2735.27932095,26490.764790,0.7117956, 68.2696,174.6256,215.2357, 64.8557
2737.27699917,26490.198276,0.7118779, 68.2754,174.4225,215.1449, 73.0400
2739.27473376,26489.772719,0.7120274, 68.2842,174.2210,215.0583, 81.2813
2740.77300943,26489.426179,0.7121911, 68.2874,174.0677,214.9966, 87.4516
2743.76958711,26488.864114,0.7125500, 68.2710,173.7474,214.8770, 99.8541
2745.26789303,26488.591205,0.7126714, 68.2556,173.5829,214.8138,106.1011
2746.76607569,26488.285816,0.7127386, 68.2441,173.4206,214.7444,112.2803
2748.76357434,26488.168854,0.7127969, 68.2404,173.2108,214.6491,120.4762
2750.76112806,26488.296172,0.7129009, 68.2470,173.0068,214.5559,128.7001
