Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
608.14964237,42163.806793,0.0005759,  5.3540, 66.0355, 35.5004,322.2428
610.14379295,42164.633364,0.0006085,  5.3594, 65.9789, 36.3959,321.3039
616.12686935,42164.011198,0.0005648,  5.3727, 65.9605, 46.2342,311.3804
616.12687985,42164.011255,0.0005648,  5.3727, 65.9605, 46.2343,311.3841
619.11806887,42163.937175,0.0005038,  5.3734, 65.9370, 48.8912,308.5478
624.10368387,42166.036563,0.0004788,  5.3791, 65.7952, 44.6200,312.7101
626.09815752,42166.593170,0.0004938,  5.3850, 65.7512, 45.8323,311.5195
628.09248670,42166.231683,0.0004863,  5.3910, 65.7387, 50.0427,307.2414
630.08707031,42165.315962,0.0004460,  5.3951, 65.7466, 53.8268,303.4511
634.07604361,42165.886045,0.0004042,  5.3975, 65.6860, 43.7459,313.4978
634.07605985,42165.885763,0.0004042,  5.3975, 65.6860, 43.7470,313.5025
636.07063354,42167.161139,0.0004447,  5.4012, 65.6071, 39.7746,317.5351
647.03987584,42167.206252,0.0003546,  5.4234, 65.4488, 55.3383,301.6229
647.03987593,42167.206251,0.0003546,  5.4234, 65.4488, 55.3383,301.6229
650.03148693,42168.547516,0.0003292,  5.4276, 65.3469, 49.9093,306.9859
652.02591157,42169.493071,0.0003422,  5.4333, 65.2801, 47.5573,309.2967
652.02591284,42169.493057,0.0003422,  5.4333, 65.2801, 47.5574,309.2971
656.01507319,42169.063285,0.0003320,  5.4471, 65.2285, 55.9467,300.8418
659.00721542,42168.199117,0.0002656,  5.4523, 65.2184, 56.3920,300.3918
661.00175344,42168.840311,0.0002546,  5.4542, 65.1705, 44.6978,312.0339
662.99602495,42170.099854,0.0002914,  5.4584, 65.0912, 35.9957,320.6177
662.99602641,42170.099829,0.0002914,  5.4584, 65.0912, 35.9958,320.6181
664.99058391,42170.948943,0.0003265,  5.4657, 65.0197, 36.0737,320.5179
670.97464109,42170.156481,0.0002778,  5.4848, 64.9654, 51.1502,305.3232
672.96932482,42170.084058,0.0002370,  5.4874, 64.9418, 53.6936,302.7308
680.94795307,42172.787294,0.0002191,  5.5093, 64.7208, 38.7345,317.5453
681.94533203,42172.566905,0.0002137,  5.5136, 64.7131, 42.3053,313.9507
685.93499936,42171.187921,0.0001371,  5.5249, 64.7148, 42.0215,314.1373
686.82340752,42172.089069,0.0001274,  5.5260, 64.7048, 18.2508,298.5460
686.93234623,42171.299308,0.0001308,  5.5263, 64.7030, 30.9921,325.1237
686.93242244,42171.298946,0.0001308,  5.5263, 64.7030, 31.0013,325.1420
687.92979783,42171.659158,0.0001416,  5.5278, 64.6815, 19.5569,336.5626
692.91651384,42173.894022,0.0002410,  5.5445, 64.5301, 14.1013,341.8815
698.90139093,42172.817610,0.0001602,  5.5646, 64.5202, 24.6103,331.2967
698.90144729,42172.818028,0.0001603,  5.5646, 64.5202, 24.6125,331.3149
700.89638220,42172.873938,0.0001281,  5.5676, 64.5019, 16.5332,339.3613
708.87585707,42175.232915,0.0001735,  5.5933, 64.3444,359.2774,356.4430
709.87323530,42174.829203,0.0001571,  5.5976, 64.3491,  0.4655,355.1837
710.87076303,42174.314841,0.0001375,  5.6012, 64.3591,357.8997,357.7245
712.86595947,42173.622356,0.0001274,  5.6060, 64.3765,338.9658, 16.6539
717.85345606,42175.527726,0.0002619,  5.6162, 64.2900,335.6211, 19.9175
722.84105180,42175.818394,0.0002599,  5.6366, 64.2472,346.4297,  9.0102
723.83863884,42175.532061,0.0002440,  5.6397, 64.2570,345.9925,  9.4294
728.82673108,42175.168503,0.0002129,  5.6477, 64.2650,327.7555, 27.6479
734.81218272,42177.429888,0.0002951,  5.6635, 64.1631,329.4857, 25.8851
746.78350142,42178.020466,0.0004278,  5.6930, 64.1173,330.4164, 24.7423
751.77181827,42177.237970,0.0003840,  5.7081, 64.1377,333.1669, 21.9256
752.76951760,42177.005346,0.0003734,  5.7095, 64.1476,331.5545, 23.5267
757.75786870,42177.588455,0.0004030,  5.7130, 64.1182,323.0552, 31.9774
758.75549586,42178.025741,0.0004214,  5.7144, 64.0985,323.2759, 31.7433
758.75550926,42178.025635,0.0004214,  5.7144, 64.0985,323.2761, 31.7479
761.74844129,42179.184252,0.0004623,  5.7217, 64.0459,327.4674, 27.5264
762.74612127,42179.269915,0.0004630,  5.7249, 64.0385,329.1036, 25.8817
764.74151169,42178.693334,0.0004420,  5.7312, 64.0468,330.1914, 24.7608
764.74153578,42178.693743,0.0004420,  5.7312, 64.0468,330.1925, 24.7684
766.73698001,42177.634718,0.0004267,  5.7353, 64.0735,326.3169, 28.6024
766.73698096,42177.634730,0.0004267,  5.7353, 64.0735,326.3170, 28.6027
773.72089369,42179.847514,0.0006052,  5.7442, 63.9708,332.1130, 22.7673
776.71409120,42179.713313,0.0005924,  5.7533, 63.9502,336.1277, 18.7437
781.70289430,42178.716922,0.0005444,  5.7590, 63.9653,333.6082, 21.2211
782.70055442,42178.799527,0.0005474,  5.7590, 63.9557,332.4152, 22.3782
782.70083112,42178.798630,0.0005474,  5.7590, 63.9557,332.4241, 22.4692
791.68006992,42180.770991,0.0006252,  5.7745, 63.7945,337.2237, 17.5104
792.67786644,42180.310325,0.0006119,  5.7769, 63.7979,337.1570, 17.5710
796.66899471,42179.493274,0.0006508,  5.7802, 63.7927,332.5488, 22.1307
803.65332445,42181.697147,0.0007707,  5.7957, 63.6186,343.1943, 11.5027
804.65113609,42181.430863,0.0007580,  5.7983, 63.6156,343.9211, 10.7732
805.64898105,42181.139935,0.0007439,  5.8002, 63.6151,344.2673, 10.4326
