Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg)
2623.41804960,26514.724220,0.7039417, 68.0819,187.7614,220.1778,177.3421
2627.90994601,26514.176227,0.7039694, 68.0799,187.3144,219.9821,189.0856
2629.40737189,26513.999882,0.7040159, 68.0875,187.1704,219.9178,193.1053
2630.90485038,26513.827676,0.7041093, 68.0948,187.0260,219.8548,197.1664
2633.40065736,26513.414901,0.7043356, 68.0979,186.7793,219.7552,203.9594
2635.39732490,26513.049011,0.7044975, 68.0902,186.5751,219.6755,209.4431
2639.39098299,26512.346006,0.7045822, 68.0781,186.1684,219.5039,220.7664
2641.38777219,26511.984982,0.7046014, 68.0873,185.9743,219.4142,226.4411
2643.38448379,26511.584224,0.7046975, 68.1011,185.7829,219.3270,232.0717
2646.38011748,26510.951887,0.7049533, 68.1121,185.4895,219.2027,240.9610
2648.37718724,26510.547503,0.7051115, 68.1096,185.2879,219.1207,246.9139
2650.37427483,26510.154026,0.7052048, 68.1041,185.0848,219.0361,252.9232
2651.87215486,26509.902254,0.7052297, 68.1023,184.9340,218.9701,257.5053
2653.36995597,26509.500015,0.7052347, 68.1057,184.7866,218.9028,262.0519
2654.86783249,26509.157351,0.7052484, 68.1142,184.6422,218.8350,266.6685
2658.36299106,26507.962302,0.7054453, 68.1428,184.3097,218.6847,277.5657
2661.35893867,26507.022871,0.7057437, 68.1507,184.0131,218.5641,287.0425
2663.35650993,26506.428276,0.7058888, 68.1462,183.8093,218.4819,293.6175
2665.35376728,26505.736373,0.7059510, 68.1436,183.6069,218.3946,300.0199
2667.35117037,26504.790569,0.7059749, 68.1511,183.4106,218.3038,306.5720
2669.34861613,26503.535508,0.7060399, 68.1681,183.2197,218.2138,313.1830
2671.34611019,26501.974744,0.7061852, 68.1864,183.0289,218.1277,319.8492
2673.34367879,26500.032171,0.7063757, 68.1973,182.8330,218.0449,326.5962
2675.34126170,26497.616213,0.7065393, 68.1993,182.6314,217.9615,333.3937
2681.33428683,26548.696315,0.7072688, 68.2128,182.0262,217.6547,354.2932
2683.33192506,26475.447512,0.7065946, 68.2228,181.8315,217.6055,  1.2649
2685.32954203,26449.936418,0.7065969, 68.2357,181.6238,217.4466,  8.2771
2687.32720106,26491.636906,0.7073205, 68.2483,181.4200,217.3773, 15.2791
2689.32527508,26503.012391,0.7076462, 68.2487,181.2150,217.3101, 22.6114
2691.32326706,26504.898098,0.7078013, 68.2431,181.0091,217.2293, 29.9247
2693.32112561,26504.828116,0.7078744, 68.2426,180.8073,217.1393, 37.1698
2695.31906122,26504.435751,0.7079450, 68.2525,180.6120,217.0460, 44.4776
2696.81737906,26504.175181,0.7080419, 68.2648,180.4683,216.9763, 49.8535
2696.81745068,26504.173135,0.7080419, 68.2648,180.4683,216.9763, 49.9054
2699.31500518,26503.972330,0.7083110, 68.2820,180.2264,216.8686, 59.0991
2701.31288811,26503.900018,0.7085710, 68.2850,180.0266,216.7852, 66.3220
2703.31109802,26503.843393,0.7087969, 68.2789,179.8216,216.7011, 73.7795
2707.30688058,26503.870331,0.7090533, 68.2680,179.4128,216.5225, 88.2291
2709.30472536,26504.056003,0.7091464, 68.2741,179.2151,216.4304, 95.3978
2710.80345550,26504.355859,0.7092511, 68.2831,179.0696,216.3622,101.0035
2712.30201446,26504.557264,0.7094039, 68.2929,178.9239,216.2991,106.4607
2714.30014075,26504.864282,0.7096779, 68.2979,178.7250,216.2187,113.7385
2716.29840262,26505.008726,0.7099571, 68.2897,178.5178,216.1401,121.0930
2721.29333943,26505.422866,0.7103167, 68.2664,177.9969,215.9224,138.9290
2723.29138870,26505.832443,0.7104411, 68.2740,177.7981,215.8322,146.0714
2725.28956341,26506.255194,0.7106439, 68.2834,177.6003,215.7468,153.2581
2727.28744321,26506.587271,0.7109069, 68.2848,177.3977,215.6662,160.1903
2729.28546134,26506.823133,0.7111652, 68.2753,177.1887,215.5869,167.1968
2731.28347708,26507.037335,0.7113614, 68.2598,176.9760,215.5049,174.1868
2735.27932095,26507.666407,0.7115674, 68.2412,176.5573,215.3288,187.9756
2737.27699917,26508.095424,0.7116670, 68.2444,176.3551,215.2398,194.6416
2739.27473376,26508.540783,0.7118337, 68.2508,176.1544,215.1551,201.2979
2740.77300943,26508.897763,0.7120130, 68.2517,176.0015,215.0961,206.2382
2743.76958711,26509.382892,0.7123966, 68.2321,175.6823,214.9820,216.0809
2745.26789303,26509.601779,0.7125260, 68.2157,175.5186,214.9210,221.0029
2746.76607569,26509.912740,0.7126034, 68.2026,175.3566,214.8562,225.8284
2748.76357434,26510.328836,0.7126720, 68.1973,175.1475,214.7657,232.1787
2750.76112806,26510.722256,0.7127850, 68.2022,174.9441,214.6774,238.5177
2752.25927177,26511.003840,0.7129206, 68.2060,174.7914,214.6148,243.2185
2756.25426588,26511.748634,0.7133680, 68.1896,174.3682,214.4593,255.5961
2759.25020066,26512.359084,0.7135755, 68.1608,174.0413,214.3369,264.5944
2760.74832559,26512.586059,0.7136232, 68.1503,173.8799,214.2719,269.1915
2762.24608809,26512.867049,0.7136535, 68.1449,173.7215,214.2050,273.5094
2768.23744247,26513.213807,0.7140031, 68.1503,173.1008,213.9563,290.7647
2769.73525835,26513.195447,0.7141599, 68.1429,172.9396,213.9009,295.0096
2770.73381186,26513.251389,0.7142557, 68.1339,172.8298,213.8636,297.8425
2772.23159808,26513.414090,0.7143613, 68.1172,172.6635,213.8047,302.0607
2774.22860485,26513.374014,0.7144182, 68.0996,172.4444,213.7188,307.6599
2775.72628405,26513.027426,0.7144313, 68.0965,172.2855,213.6511,311.7983
2777.22383479,26512.614957,0.7144652, 68.1008,172.1307,213.5845,315.8252
2821.14403692,26514.825214,0.7163631, 68.1163,167.4379,211.6821, 67.9922
2836.11187311,26512.113982,0.7171686, 68.1711,165.8666,211.0402,104.3857
2840.10335744,26511.056147,0.7174453, 68.1636,165.4354,210.8752,114.3845
2844.09465105,26510.121098,0.7175158, 68.1738,165.0130,210.6899,124.4297
2981.72726949,26517.621563,0.7244511, 68.0507,149.8751,204.7002, 69.8578
2987.70927937,26517.289442,0.7246657, 68.0776,149.2178,204.4541, 79.6653
3017.11822151,26513.712834,0.7255495, 68.1827,145.9662,203.1833,127.9677
